 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Ago/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210173 Belágua";20;20;24797,37;18639,93;-;-;6157,44;-;-;1239,87;1239,87;80;4,0;1;5,00
"210180 Benedito Leite";17;17;14464,36;11167,53;-;-;3296,83;-;-;850,84;850,84;60;3,5;1;5,88
"210190 Bequimão";89;90;65283,95;51045,75;-;-;14238,20;-;-;725,38;733,53;379;4,3;5;5,62
"210193 Bernardo do Mearim";19;19;39884,27;32091,85;-;-;7792,42;-;-;2099,17;2099,17;196;10,3;3;15,79
"210197 Boa Vista do Gurupi";28;28;19429,61;14056,74;-;-;5372,87;-;-;693,91;693,91;53;1,9;1;3,57
"210200 Bom Jardim";141;141;143506,75;115347,33;-;-;28159,42;-;-;1017,78;1017,78;661;4,7;9;6,38
"210203 Bom Jesus das Selvas";130;131;85087,46;65062,81;-;-;20024,65;-;-;649,52;654,52;357;2,7;2;1,54
"210207 Bom Lugar";38;38;42132,19;31921,06;-;-;10211,13;-;-;1108,74;1108,74;120;3,2;5;13,16
"210210 Brejo";161;162;159863,74;123814,01;-;-;36049,73;-;-;986,81;992,94;535;3,3;6;3,73
"210215 Brejo de Areia";14;14;14167,93;10395,70;-;-;3772,23;-;-;1012,00;1012,00;31;2,2;-;-
"210220 Buriti";83;84;63477,53;44218,12;-;-;19259,41;-;-;755,68;764,79;382;4,6;3;3,61
"210230 Buriti Bravo";143;144;126612,49;101841,41;-;-;24771,08;-;-;879,25;885,40;446;3,1;3;2,10
"210232 Buriticupu";346;349;284887,21;219822,63;-;-;65064,58;-;-;816,30;823,37;1252;3,6;1;0,29
