 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"170550 Colinas do Tocantins";172;172;153086,30;117630,66;-;-;35455,64;-;-;890,04;890,04;957;5,6;10;5,81
"171670 Colméia";33;33;25026,58;19148,53;-;-;5878,05;-;-;758,38;758,38;161;4,9;2;6,06
"170555 Combinado";9;9;7899,92;6626,86;-;-;1273,06;-;-;877,77;877,77;59;6,6;-;-
"170560 Conceição do Tocantins";18;18;31279,55;26696,07;149,27;-;4360,73;-;-;1737,75;1737,75;124;6,9;1;5,56
"170600 Couto Magalhães";21;21;18732,50;12547,85;206,16;-;5867,64;-;-;892,02;892,02;136;6,5;-;-
"170610 Cristalândia";33;33;41487,94;32036,78;-;-;9451,16;-;-;1257,21;1257,21;267;8,1;1;3,03
"170625 Crixás do Tocantins";12;12;34592,12;25630,07;-;-;8962,05;-;-;2882,68;2882,68;55;4,6;4;33,33
"170650 Darcinópolis";33;33;37832,01;31133,26;206,16;-;6381,74;-;-;1146,42;1146,42;211;6,4;-;-
"170700 Dianópolis";45;45;25967,56;18617,47;-;-;7350,09;-;-;577,06;577,06;213;4,7;2;4,44
"170710 Divinópolis do Tocantins";38;38;34085,64;26673,14;149,27;-;7189,75;-;-;896,99;896,99;272;7,2;2;5,26
"170720 Dois Irmãos do Tocantins";19;19;11840,01;8988,21;223,58;-;2503,92;-;-;623,16;623,16;168;8,8;-;-
"170730 Dueré";7;7;8535,82;6534,21;-;-;2001,61;-;-;1219,40;1219,40;25;3,6;1;14,29
"170740 Esperantina";15;15;14867,29;11770,40;-;-;3096,89;-;-;991,15;991,15;79;5,3;-;-
"170755 Fátima";25;25;23539,08;19948,23;149,27;-;3368,10;-;-;941,56;941,56;117;4,7;2;8,00
"170765 Figueirópolis";19;19;15298,07;11655,57;206,16;-;3325,49;-;-;805,16;805,16;79;4,2;-;-
"170770 Filadélfia";28;28;58133,07;49210,10;74,46;-;8769,69;-;-;2076,18;2076,18;205;7,3;-;-
"170820 Formoso do Araguaia";81;81;95297,58;77310,50;-;-;17987,08;-;-;1176,51;1176,51;421;5,2;2;2,47
"170825 Fortaleza do Tabocão";12;12;7164,40;5231,12;-;-;1933,28;-;-;597,03;597,03;94;7,8;-;-
"170830 Goianorte";11;11;7577,00;6080,31;-;-;1496,69;-;-;688,82;688,82;51;4,6;-;-
"170900 Goiatins";46;46;30352,06;23007,68;-;-;7344,38;-;-;659,83;659,83;229;5,0;3;6,52
"170930 Guaraí";131;131;177133,81;145653,66;1252,50;-;29673,72;-;-;1352,17;1352,17;842;6,4;2;1,53
"170950 Gurupi";428;429;490541,16;388832,18;1348,28;-;99584,56;-;-;1143,45;1146,12;2585;6,0;25;5,84
"170980 Ipueiras";10;10;5761,66;4611,44;206,16;-;833,21;-;-;576,17;576,17;47;4,7;-;-
"171050 Itacajá";30;30;32878,86;23979,70;-;-;8899,16;-;-;1095,96;1095,96;283;9,4;1;3,33
"171070 Itaguatins";13;13;7757,90;6215,55;-;-;1542,35;-;-;596,76;596,76;44;3,4;-;-
"171090 Itapiratins";15;15;28492,66;23370,81;-;-;5121,85;-;-;1899,51;1899,51;147;9,8;-;-
"171110 Itaporã do Tocantins";9;9;4653,01;3257,93;-;-;1395,08;-;-;517,00;517,00;29;3,2;1;11,11
"171150 Jaú do Tocantins";16;16;17122,26;13860,52;-;-;3261,74;-;-;1070,14;1070,14;127;7,9;1;6,25
"171180 Juarina";11;11;12945,92;11468,42;-;-;1477,50;-;-;1176,90;1176,90;59;5,4;1;9,09
"171190 Lagoa da Confusão";91;91;61310,01;47746,34;100,02;-;13394,17;-;-;673,74;673,74;381;4,2;1;1,10
"171195 Lagoa do Tocantins";26;26;16427,00;13374,43;-;-;3052,57;-;-;631,81;631,81;160;6,2;2;7,69
"171200 Lajeado";23;23;16416,37;11291,90;206,16;-;4807,46;-;-;713,76;713,76;69;3,0;-;-
"171215 Lavandeira";6;6;6011,72;4491,69;-;-;1520,03;-;-;1001,95;1001,95;51;8,5;-;-
"171240 Lizarda";12;12;11261,16;8731,68;-;-;2529,48;-;-;938,43;938,43;71;5,9;1;8,33
"171245 Luzinópolis";7;7;3796,59;2909,52;-;-;887,07;-;-;542,37;542,37;24;3,4;1;14,29
"171250 Marianópolis do Tocantins";22;22;21183,28;13765,89;522,12;-;6624,01;-;-;962,88;962,88;86;3,9;1;4,55
"171270 Mateiros";6;6;5339,58;3341,66;-;-;1997,92;-;-;889,93;889,93;20;3,3;-;-
"171280 Maurilândia do Tocantins";4;4;2275,50;1735,81;-;-;539,69;-;-;568,88;568,88;10;2,5;-;-
"171320 Miracema do Tocantins";141;141;155832,59;121669,77;793,51;-;32931,50;-;-;1105,20;1105,20;757;5,4;5;3,55
"171330 Miranorte";94;94;101145,30;77229,56;729,80;-;22742,36;-;-;1076,01;1076,01;360;3,8;5;5,32
"171360 Monte do Carmo";32;32;19478,28;15248,23;223,58;-;3882,17;-;-;608,70;608,70;161;5,0;1;3,13
"171370 Monte Santo do Tocantins";9;9;12499,42;10074,86;95,55;-;2266,59;-;-;1388,82;1388,82;65;7,2;-;-
"171395 Muricilândia";13;13;12102,27;8960,74;-;-;3141,53;-;-;930,94;930,94;90;6,9;2;15,38
"171420 Natividade";26;26;18372,78;15269,37;-;-;3103,41;-;-;706,65;706,65;116;4,5;-;-
"171430 Nazaré";15;15;13711,26;8706,39;74,46;-;4851,59;-;-;914,08;914,08;54;3,6;-;-
"171488 Nova Olinda";61;61;58105,98;47500,87;-;-;10605,11;-;-;952,56;952,56;464;7,6;-;-
"171500 Nova Rosalândia";15;15;17659,86;13720,21;-;-;3939,65;-;-;1177,32;1177,32;89;5,9;-;-
"171510 Novo Acordo";22;22;30337,68;21283,97;-;-;9053,71;-;-;1378,99;1378,99;67;3,0;-;-
"171515 Novo Alegre";8;8;7626,11;6000,89;-;-;1625,22;-;-;953,26;953,26;44;5,5;-;-
"171525 Novo Jardim";3;3;1329,82;905,63;-;-;424,19;-;-;443,27;443,27;10;3,3;-;-
"171550 Oliveira de Fátima";6;6;5611,40;4755,66;-;-;855,74;-;-;935,23;935,23;71;11,8;-;-
"172100 Palmas";1389;1389;1602093,23;1258997,01;3385,86;-;338099,54;-;-;1153,41;1153,41;8125;5,8;64;4,61
"171570 Palmeirante";14;14;11100,50;8180,45;-;-;2920,05;-;-;792,89;792,89;64;4,6;1;7,14
"171380 Palmeiras do Tocantins";11;11;16690,42;14801,52;-;-;1888,90;-;-;1517,31;1517,31;128;11,6;1;9,09
"171575 Palmeirópolis";19;19;29341,87;20737,21;196,11;-;8334,71;-;-;1544,31;1544,31;79;4,2;1;5,26
"171610 Paraíso do Tocantins";279;279;275454,08;208674,95;2546,18;-;62730,17;-;-;987,29;987,29;1429;5,1;10;3,58
"171620 Paranã";70;70;81273,13;61796,06;-;-;19477,07;-;-;1161,04;1161,04;393;5,6;2;2,86
"171630 Pau D'Arco";19;19;13977,73;11236,59;-;-;2741,14;-;-;735,67;735,67;81;4,3;1;5,26
"171650 Pedro Afonso";87;88;75552,96;61127,29;-;-;14425,67;-;-;858,56;868,42;374;4,3;6;6,90
"171660 Peixe";56;56;37768,87;29962,11;125,06;-;7622,75;-;-;674,44;674,44;255;4,6;2;3,57
"171665 Pequizeiro";15;15;13249,18;10649,30;-;-;2599,88;-;-;883,28;883,28;93;6,2;-;-
"171700 Pindorama do Tocantins";12;12;12564,63;10410,38;-;-;2154,25;-;-;1047,05;1047,05;44;3,7;2;16,67
"171720 Piraquê";14;14;10805,63;8442,13;-;-;2363,50;-;-;771,83;771,83;56;4,0;1;7,14
"171750 Pium";39;39;25679,20;21246,62;-;-;4432,58;-;-;658,44;658,44;125;3,2;2;5,13
"171780 Ponte Alta do Bom Jesus";11;11;5450,18;3762,93;-;-;1687,25;-;-;495,47;495,47;43;3,9;1;9,09
"171790 Ponte Alta do Tocantins";17;17;14608,77;11743,55;-;-;2865,22;-;-;859,34;859,34;131;7,7;-;-
"171800 Porto Alegre do Tocantins";7;7;9246,42;6816,49;-;-;2429,93;-;-;1320,92;1320,92;52;7,4;-;-
"171820 Porto Nacional";386;386;380430,55;310726,35;489,62;-;68872,41;-;-;985,57;985,57;2399;6,2;12;3,11
"171830 Praia Norte";25;25;16012,99;12396,95;-;-;3616,04;-;-;640,52;640,52;143;5,7;2;8,00
"171840 Presidente Kennedy";14;14;10530,62;8512,47;-;-;2018,15;-;-;752,19;752,19;88;6,3;2;14,29
"171845 Pugmil";15;15;12970,20;10472,51;-;-;2497,69;-;-;864,68;864,68;112;7,5;-;-
"171850 Recursolândia";17;17;9615,51;7588,95;-;-;2026,56;-;-;565,62;565,62;70;4,1;1;5,88
"171855 Riachinho";18;18;10336,14;7882,44;-;-;2453,70;-;-;574,23;574,23;66;3,7;3;16,67
"171865 Rio da Conceição";4;4;1423,61;1288,29;-;-;135,32;-;-;355,90;355,90;48;12,0;-;-
"171870 Rio dos Bois";14;14;13645,92;10031,77;-;-;3614,15;-;-;974,71;974,71;49;3,5;1;7,14
"171875 Rio Sono";25;25;25000,18;19975,57;-;-;5024,61;-;-;1000,01;1000,01;137;5,5;2;8,00
"171880 Sampaio";11;11;5714,31;4730,35;-;-;983,96;-;-;519,48;519,48;88;8,0;-;-
"171884 Sandolândia";15;15;9734,82;7133,98;-;-;2600,84;-;-;648,99;648,99;43;2,9;-;-
"171886 Santa Fé do Araguaia";29;29;28573,30;21107,05;-;-;7466,25;-;-;985,29;985,29;167;5,8;1;3,45
"171888 Santa Maria do Tocantins";13;13;8178,54;6453,97;-;-;1724,57;-;-;629,12;629,12;51;3,9;-;-
"171889 Santa Rita do Tocantins";8;8;15092,79;10440,13;-;-;4652,66;-;-;1886,60;1886,60;58;7,3;-;-
"171890 Santa Rosa do Tocantins";26;26;20511,12;16079,90;95,55;-;4273,25;-;-;788,89;788,89;226;8,7;2;7,69
"171900 Santa Tereza do Tocantins";25;25;26313,15;20457,10;-;-;5856,05;-;-;1052,53;1052,53;110;4,4;1;4,00
"172000 Santa Terezinha do Tocantins";4;4;4467,00;3653,04;-;-;813,96;-;-;1116,75;1116,75;25;6,3;-;-
"172010 São Bento do Tocantins";11;11;15423,05;13901,51;-;-;1521,54;-;-;1402,10;1402,10;128;11,6;-;-
