 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210055 Amapá do Maranhão";37;37;30148,48;23701,48;-;-;6447,00;-;-;814,82;814,82;100;2,7;1;2,70
"210060 Amarante do Maranhão";338;338;170577,69;130392,19;-;-;40185,50;-;-;504,67;504,67;1144;3,4;8;2,37
"210070 Anajatuba";64;65;59599,30;46957,78;-;-;12641,52;-;-;916,91;931,24;417;6,5;-;-
"210080 Anapurus";100;100;81171,93;61817,26;-;-;19354,67;-;-;811,72;811,72;222;2,2;1;1,00
"210083 Apicum-Açu";151;151;53253,17;42365,75;-;-;10887,42;-;-;352,67;352,67;446;3,0;4;2,65
"210087 Araguanã";30;31;27414,81;21315,83;-;-;6098,98;-;-;884,35;913,83;180;6,0;-;-
"210090 Araioses";105;106;72199,36;54258,85;-;-;17940,51;-;-;681,13;687,61;670;6,4;2;1,90
"210095 Arame";260;260;151933,20;116860,15;-;-;35073,05;-;-;584,36;584,36;543;2,1;4;1,54
"210100 Arari";54;55;98347,30;79326,71;-;-;19020,59;-;-;1788,13;1821,25;528;9,8;3;5,56
"210110 Axixá";29;30;26314,29;20896,15;-;-;5418,14;-;-;877,14;907,39;139;4,8;2;6,90
"210120 Bacabal";587;595;460333,49;371329,28;-;-;89004,21;-;-;773,67;784,21;2840;4,8;30;5,11
"210125 Bacabeira";52;53;66994,11;54517,90;-;-;12476,21;-;-;1264,04;1288,35;341;6,6;3;5,77
"210130 Bacuri";148;148;59780,72;48093,73;-;-;11686,99;-;-;403,92;403,92;476;3,2;-;-
"210135 Bacurituba";8;8;2798,49;2223,38;-;-;575,11;-;-;349,81;349,81;31;3,9;-;-
"210140 Balsas";566;566;528923,54;418366,04;-;-;110557,50;-;-;934,49;934,49;2755;4,9;16;2,83
