 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
316120 São Francisco de Paula;19;19;36569,34;28257,06;-;-;8312,28;-;-;1924,7;1924,7;126;6,6;3;15,79;
316130 São Francisco de Sales;8;8;19871,64;17592,11;-;-;2279,53;-;-;2483,95;2483,95;110;13,8;-;-;
316140 São Francisco do Glória;13;13;48608,68;34987,48;-;-;13621,2;-;-;3739,13;3739,13;75;5,8;1;7,69;
316150 São Geraldo;39;39;37468,59;31172,52;-;-;6296,07;-;-;960,73;960,73;126;3,2;2;5,13;
316160 São Geraldo da Piedade;15;15;29730,99;23778,25;-;-;5952,74;-;-;1982,07;1982,07;63;4,2;3;20;
316165 São Geraldo do Baixio;7;7;9446,61;6657,11;-;-;2789,5;-;-;1349,52;1349,52;13;1,9;-;-;
316170 São Gonçalo do Abaeté;27;27;37762,2;30607,32;-;-;7154,88;-;-;1398,6;1398,6;192;7,1;-;-;
316180 São Gonçalo do Pará;22;22;34236,75;25534,3;-;-;8702,45;-;-;1556,22;1556,22;76;3,5;-;-;
316190 São Gonçalo do Rio Abaixo;29;29;41669,72;32979,75;-;-;8689,97;-;-;1436,89;1436,89;153;5,3;1;3,45;
312550 São Gonçalo do Rio Preto;14;14;31417,15;25771,31;-;-;5645,84;-;-;2244,08;2244,08;69;4,9;2;14,29;
316200 São Gonçalo do Sapucaí;148;149;180316,22;142145,86;-;-;38170,36;-;-;1210,18;1218,35;531;3,6;6;4,05;
316210 São Gotardo;159;159;166448,39;124497,85;-;-;41950,54;-;-;1046,85;1046,85;530;3,3;4;2,52;
316220 São João Batista do Glória;39;40;66227,85;53153,85;-;-;13074;-;-;1655,7;1698,15;171;4,4;2;5,13;
316225 São João da Lagoa;14;14;28290,73;23880,1;-;-;4410,63;-;-;2020,77;2020,77;74;5,3;1;7,14;
316230 São João da Mata;8;8;9194,22;6939,47;-;-;2254,75;-;-;1149,28;1149,28;27;3,4;-;-;
316240 São João da Ponte;180;180;294760,14;247965;-;-;46795,14;-;-;1637,56;1637,56;636;3,5;5;2,78;
316245 São João das Missões;64;64;28585,09;19935,06;-;-;8650,03;-;-;446,64;446,64;215;3,4;1;1,56;
316250 São João del Rei;302;305;670509,23;552408,15;-;-;118101,08;-;-;2198,39;2220,23;1866;6,2;14;4,64;
316255 São João do Manhuaçu;55;55;34799,42;25266,55;-;-;9532,87;-;-;632,72;632,72;172;3,1;1;1,82;
316257 São João do Manteninha;28;28;16200,69;12525,6;-;-;3675,09;-;-;578,6;578,6;115;4,1;-;-;
316260 São João do Oriente;51;51;107530,81;90242,9;-;-;17287,91;-;-;2108,45;2108,45;329;6,5;5;9,8;
316265 São João do Pacuí;7;7;3335,9;2067,64;-;-;1268,26;-;-;476,56;476,56;13;1,9;-;-;
316270 São João do Paraíso;114;114;89538,29;72883,56;-;-;16654,73;-;-;785,42;785,42;404;3,5;5;4,39;
316280 São João Evangelista;122;122;84917,24;70067,4;-;-;14849,84;-;-;696,04;696,04;449;3,7;4;3,28;
316290 São João Nepomuceno;104;106;166845,89;141863,37;-;-;24982,52;-;-;1574,02;1604,29;683;6,6;12;11,54;
316292 São Joaquim de Bicas;101;103;194050,93;154593,67;-;-;39457,26;-;-;1883,99;1921,3;678;6,7;4;3,96;
316294 São José da Barra;19;20;61353,05;51459,83;-;-;9893,22;-;-;3067,65;3229,11;150;7,9;-;-;
316295 São José da Lapa;89;89;114575,23;90805,8;-;-;23769,43;-;-;1287,36;1287,36;475;5,3;1;1,12;
316300 São José da Safira;13;13;46115,66;39270,86;-;-;6844,8;-;-;3547,36;3547,36;86;6,6;1;7,69;
316310 São José da Varginha;13;13;25164,83;20034,57;-;-;5130,26;-;-;1935,76;1935,76;59;4,5;-;-;
316320 São José do Alegre;24;24;46125,91;39729,68;-;-;6396,23;-;-;1921,91;1921,91;113;4,7;-;-;
316330 São José do Divino;12;13;12992,19;10608,44;-;-;2383,75;-;-;999,4;1082,68;52;4,3;-;-;
316340 São José do Goiabal;31;31;47333,17;36021,96;-;-;11311,21;-;-;1526,88;1526,88;161;5,2;3;9,68;
316350 São José do Jacuri;9;9;3990,11;3128,59;-;-;861,52;-;-;443,35;443,35;30;3,3;1;11,11;
316360 São José do Mantimento;8;8;8099,33;6988,45;-;-;1110,88;-;-;1012,42;1012,42;26;3,3;1;12,5;
316370 São Lourenço;251;255;429021,35;349529,38;-;-;79491,97;-;-;1682,44;1709,25;1300;5,2;18;7,17;
316380 São Miguel do Anta;26;26;34851,88;27793,14;-;456,78;5603,36;456,78;998,6;1340,46;1340,46;167;6,4;1;3,85;
316390 São Pedro da União;24;24;44002,05;37764,36;-;-;6237,69;-;-;1833,42;1833,42;98;4,1;3;12,5;
316410 São Pedro do Suaçuí;22;22;27730,15;20181,61;-;-;7548,54;-;-;1260,46;1260,46;97;4,4;2;9,09;
316400 São Pedro dos Ferros;30;30;21376,9;17157,58;-;-;4219,32;-;-;712,56;712,56;115;3,8;-;-;
316420 São Romão;38;38;34751,92;26251,11;-;-;8500,81;-;-;914,52;914,52;114;3;2;5,26;
316430 São Roque de Minas;38;39;45159,21;37552,91;-;-;7606,3;-;-;1157,93;1188,4;196;5,2;1;2,63;
316440 São Sebastião da Bela Vista;22;22;28759,99;22966,46;-;-;5793,53;-;-;1307,27;1307,27;101;4,6;1;4,55;
316443 São Sebastião da Vargem Alegre;3;3;9127,4;7881,23;-;-;1246,17;-;-;3042,47;3042,47;6;2;1;33,33;
316447 São Sebastião do Anta;11;11;21665,17;15804,77;-;-;5860,4;-;-;1969,56;1969,56;58;5,3;-;-;
316450 São Sebastião do Maranhão;33;33;36339,97;28956,47;-;-;7383,5;-;-;1101,21;1101,21;121;3,7;2;6,06;
316460 São Sebastião do Oeste;14;14;7520,96;5223,41;-;-;2297,55;-;-;537,21;537,21;34;2,4;-;-;
316470 São Sebastião do Paraíso;321;348;840938,3;708761,04;-;-;132177,26;-;-;2416,49;2619,75;2292;7,1;19;5,92;
316480 São Sebastião do Rio Preto;6;6;20363,9;16209,31;-;-;4154,59;-;-;3393,98;3393,98;36;6;1;16,67;
316490 São Sebastião do Rio Verde;8;8;24836,99;18125,99;-;-;6711;-;-;3104,62;3104,62;45;5,6;-;-;
316520 São Thomé das Letras;15;16;21390,02;18084,09;-;-;3305,93;-;-;1336,88;1426;102;6,8;-;-;
316500 São Tiago;78;78;85956,2;68888,84;-;-;17067,36;-;-;1102;1102;377;4,8;1;1,28;
316510 São Tomás de Aquino;31;34;84406,2;68606,44;-;-;15799,76;-;-;2482,54;2722,78;188;6,1;2;6,45;
316530 São Vicente de Minas;26;26;37990,31;30876,9;-;-;7113,41;-;-;1461,17;1461,17;128;4,9;3;11,54;
316540 Sapucaí-Mirim;20;20;36939,22;30047,89;-;-;6891,33;-;-;1846,96;1846,96;96;4,8;-;-;
316550 Sardoá;27;27;35167,71;30568,09;-;-;4599,62;-;-;1302,51;1302,51;151;5,6;1;3,7;
316553 Sarzedo;141;141;346437,52;297587,29;-;173,91;48231,66;173,91;444,66;2457;2457;820;5,8;3;2,13;
316556 Sem-Peixe;15;15;9343,83;7142,02;-;-;2201,81;-;-;622,92;622,92;35;2,3;1;6,67;
316557 Senador Amaral;25;25;30288,38;24250,98;-;-;6037,4;-;-;1211,54;1211,54;81;3,2;2;8;
316560 Senador Cortes;16;16;5531,29;4354,66;-;-;1176,63;-;-;345,71;345,71;57;3,6;1;6,25;
316570 Senador Firmino;23;23;24666,09;19040,31;-;-;5625,78;-;-;1072,44;1072,44;72;3,1;1;4,35;
316580 Senador José Bento;5;5;3745,03;2938,15;-;-;806,88;-;-;749,01;749,01;17;3,4;-;-;
316590 Senador Modestino Gonçalves;24;24;39207,51;28383,12;-;-;10824,39;-;-;1633,65;1633,65;136;5,7;-;-;
316600 Senhora de Oliveira;19;19;66459,33;58787,65;-;-;7671,68;-;-;3497,86;3497,86;126;6,6;2;10,53;
316610 Senhora do Porto;24;24;9901,2;7280,29;-;-;2620,91;-;-;412,55;412,55;43;1,8;-;-;
316620 Senhora dos Remédios;34;34;38590,71;31974,93;-;-;6615,78;-;-;1135,02;1135,02;220;6,5;4;11,76;
316630 Sericita;35;35;65854,07;53596,86;-;-;12257,21;-;-;1881,54;1881,54;155;4,4;2;5,71;
316640 Seritinga;2;2;786,07;590,36;-;-;195,71;-;-;393,03;393,03;3;1,5;1;50;
316650 Serra Azul de Minas;25;25;26613,05;21417,06;-;-;5195,99;-;-;1064,52;1064,52;117;4,7;-;-;
316660 Serra da Saudade;3;3;1917,51;1395,83;-;-;521,68;-;-;639,17;639,17;6;2;-;-;
316680 Serra do Salitre;64;64;136781,66;107104,72;-;-;29676,94;-;-;2137,21;2137,21;307;4,8;3;4,69;
316670 Serra dos Aimorés;40;40;19385,69;14669,6;-;-;4716,09;-;-;484,64;484,64;175;4,4;1;2,5;
316690 Serrania;28;28;44543,19;34863,34;-;-;9679,85;-;-;1590,83;1590,83;118;4,2;1;3,57;
316695 Serranópolis de Minas;17;17;27630,05;22473,94;-;-;5156,11;-;-;1625,3;1625,3;92;5,4;1;5,88;
316700 Serranos;5;5;2013,42;1471,03;-;-;542,39;-;-;402,68;402,68;24;4,8;-;-;
316710 Serro;113;113;119816,1;98020,56;-;-;21795,54;-;-;1060,32;1060,32;442;3,9;4;3,54;
316720 Sete Lagoas;902;903;1555824,8;1274546,47;-;-;281278,33;-;-;1722,95;1724,86;4244;4,7;52;5,76;
316555 Setubinha;40;40;25266,28;18076,43;-;-;7189,85;-;-;631,66;631,66;123;3,1;2;5;
316730 Silveirânia;17;17;11836,99;9208,8;-;-;2628,19;-;-;696,29;696,29;59;3,5;-;-;
316740 Silvianópolis;13;13;19793,19;17316,2;-;-;2476,99;-;-;1522,55;1522,55;103;7,9;3;23,08;
316750 Simão Pereira;13;13;29285,84;24857,25;-;-;4428,59;-;-;2252,76;2252,76;63;4,8;2;15,38;
316760 Simonésia;82;83;52905,47;40138,28;-;-;12767,19;-;-;637,42;645,19;292;3,6;2;2,44;
316770 Sobrália;11;11;14827,38;11005,77;-;-;3821,61;-;-;1347,94;1347,94;52;4,7;1;9,09;
316780 Soledade de Minas;29;29;52195,13;43454,26;-;-;8740,87;-;-;1799,83;1799,83;141;4,9;-;-;
316790 Tabuleiro;27;27;13501,62;11288,88;-;-;2212,74;-;-;500,06;500,06;93;3,4;4;14,81;
316800 Taiobeiras;172;172;267866,79;209592,2;-;-;58274,59;-;-;1557,37;1557,37;824;4,8;6;3,49;
316805 Taparuba;16;16;17333,42;12567,77;-;-;4765,65;-;-;1083,34;1083,34;58;3,6;-;-;
316810 Tapira;11;11;16664,37;13356,69;-;-;3307,68;-;-;1514,94;1514,94;42;3,8;-;-;
316820 Tapiraí;6;6;8722,72;7119,47;-;-;1603,25;-;-;1453,79;1453,79;18;3;-;-;
316830 Taquaraçu de Minas;15;15;11300,82;8862,64;-;-;2438,18;-;-;753,39;753,39;72;4,8;1;6,67;
316840 Tarumirim;150;150;131582,59;115079,86;-;-;16502,73;-;-;877,22;877,22;552;3,7;4;2,67;
316850 Teixeiras;52;52;134710,07;103491,69;-;703,22;28297,99;703,22;2217,17;2590,58;2590,58;270;5,2;5;9,62;
316860 Teófilo Otoni;437;438;781630,19;623837,13;-;-;157793,06;-;-;1784,54;1788,63;2112;4,8;28;6,41;
316870 Timóteo;306;306;491635,52;408939,18;-;-;82696,34;-;-;1606,65;1606,65;1318;4,3;21;6,86;
316880 Tiradentes;29;29;50781,4;42165,29;-;-;8616,11;-;-;1751,08;1751,08;132;4,6;1;3,45;
316890 Tiros;15;15;13978,03;11732,03;-;-;2246;-;-;931,87;931,87;62;4,1;2;13,33;
316900 Tocantins;81;82;123317,8;102310,34;-;-;21007,46;-;-;1503,88;1522,44;460;5,7;4;4,94;
316905 Tocos do Moji;13;13;10518,11;7839,02;-;-;2679,09;-;-;809,09;809,09;56;4,3;1;7,69;
316910 Toledo;12;12;28043,33;22826,16;-;-;5217,17;-;-;2336,94;2336,94;47;3,9;1;8,33;
316920 Tombos;25;25;114932,97;91407;-;-;23525,97;-;-;4597,32;4597,32;138;5,5;5;20;
316930 Três Corações;306;309;464313,98;378821,91;-;-;85492,07;-;-;1502,63;1517,37;1849;6;34;11,11;
316935 Três Marias;170;170;208266,34;163975,99;-;-;44290,35;-;-;1225,1;1225,1;639;3,8;8;4,71;
316940 Três Pontas;256;256;550355,85;447995,83;-;-;102360,02;-;-;2149,83;2149,83;1194;4,7;19;7,42;
316950 Tumiritinga;21;21;43757,48;34896,68;-;-;8860,8;-;-;2083,69;2083,69;101;4,8;3;14,29;
316960 Tupaciguara;37;37;97971,58;87888,4;-;-;10083,18;-;-;2647,88;2647,88;132;3,6;1;2,7;
316970 Turmalina;87;87;96844,25;77856,73;-;-;18987,52;-;-;1113,15;1113,15;412;4,7;2;2,3;
316980 Turvolândia;13;13;12640,43;9868,92;-;-;2771,51;-;-;972,34;972,34;38;2,9;1;7,69;
316990 Ubá;414;414;691750,26;576751,15;-;-;114999,11;-;-;1670,89;1670,89;2093;5,1;19;4,59;
317000 Ubaí;38;38;19636,32;14125,17;-;-;5511,15;-;-;516,75;516,75;105;2,8;3;7,89;
317005 Ubaporanga;28;28;88971,19;65852,69;-;-;23118,5;-;-;3177,54;3177,54;107;3,8;3;10,71;
317010 Uberaba;1047;1047;1917748,84;1610019,49;-;-;307729,35;-;-;1831,66;1831,66;6200;5,9;67;6,4;
317020 Uberlândia;3075;3076;5703801,53;4718465,39;-;-;985336,14;-;-;1854,29;1854,89;17915;5,8;149;4,85;
317030 Umburatiba;9;9;17521,05;15256,18;-;-;2264,87;-;-;1946,78;1946,78;60;6,7;-;-;
317040 Unaí;270;270;398652,68;310204,38;-;-;88448,3;-;-;1476,49;1476,49;1157;4,3;10;3,7;
317043 União de Minas;27;27;26148,04;21045,17;-;-;5102,87;-;-;968,45;968,45;94;3,5;1;3,7;
317047 Uruana de Minas;3;3;1386,58;1021,27;-;-;365,31;-;-;462,19;462,19;20;6,7;1;33,33;
317050 Urucânia;55;55;111692,66;86826,06;-;-;24866,6;-;-;2030,78;2030,78;364;6,6;5;9,09;
317052 Urucuia;25;25;13479,62;10221,9;-;-;3257,72;-;-;539,18;539,18;86;3,4;-;-;
317057 Vargem Alegre;14;14;131331,22;115001,58;-;-;16329,64;-;-;9380,8;9380,8;46;3,3;2;14,29;
317060 Vargem Bonita;13;13;23734,85;19899,93;-;-;3834,92;-;-;1825,76;1825,76;49;3,8;1;7,69;
317065 Vargem Grande do Rio Pardo;18;18;30529,24;25887,61;-;-;4641,63;-;-;1696,07;1696,07;79;4,4;2;11,11;
317070 Varginha;432;433;874125,62;699004,06;-;-;175121,56;-;-;2018,77;2023,44;2334;5,4;34;7,87;
317075 Varjão de Minas;24;24;31380,66;25756,16;-;-;5624,5;-;-;1307,53;1307,53;162;6,8;2;8,33;
317080 Várzea da Palma;137;137;137495,56;109254,61;-;-;28240,95;-;-;1003,62;1003,62;524;3,8;6;4,38;
317090 Varzelândia;106;106;126519,91;104161,18;-;-;22358,73;-;-;1193,58;1193,58;512;4,8;3;2,83;
317100 Vazante;52;52;47337,03;37901,56;-;-;9435,47;-;-;910,33;910,33;156;3;2;3,85;
317103 Verdelândia;34;34;24354,07;17420,28;-;-;6933,79;-;-;716,3;716,3;117;3,4;1;2,94;
317107 Veredinha;21;21;34341,8;28520,83;-;-;5820,97;-;-;1635,32;1635,32;83;4;-;-;
317110 Veríssimo;18;18;50751,01;44426,73;-;-;6324,28;-;-;2819,5;2819,5;83;4,6;-;-;
317115 Vermelho Novo;11;11;11589,38;9480,24;-;-;2109,14;-;-;1053,58;1053,58;40;3,6;2;18,18;
317120 Vespasiano;528;533;838272,53;682812,43;-;-;155460,1;-;-;1572,74;1587,64;2874;5,4;17;3,22;
317130 Viçosa;278;278;423628,34;328264,56;-;5592,43;81159,98;5592,43;8611,37;1523,84;1523,84;1260;4,5;23;8,27;
317140 Vieiras;7;7;14906,09;12141,45;-;-;2764,64;-;-;2129,44;2129,44;32;4,6;-;-;
317160 Virgem da Lapa;9;9;36730,64;30014,1;-;-;6716,54;-;-;4081,18;4081,18;45;5;1;11,11;
317170 Virgínia;51;51;72981,47;61070,58;-;-;11910,89;-;-;1431,01;1431,01;234;4,6;1;1,96;
317180 Virginópolis;43;43;59092,96;49358,58;-;-;9734,38;-;-;1374,25;1374,25;180;4,2;1;2,33;
317190 Virgolândia;16;16;30532,72;22803,67;-;-;7729,05;-;-;1908,29;1908,29;40;2,5;1;6,25;
317200 Visconde do Rio Branco;211;211;347541,69;288231,14;-;-;59310,55;-;-;1647,12;1647,12;918;4,4;6;2,84;
317210 Volta Grande;17;17;33665,15;27958,14;-;-;5707,01;-;-;1980,3;1980,3;101;5,9;1;5,88;
317220 Wenceslau Braz;14;14;25230,85;20182,88;-;-;5047,97;-;-;1802,2;1802,2;68;4,9;-;-;
320010 Afonso Cláudio;187;187;206748,88;163999,19;-;-;42749,69;-;-;1105,61;1105,61;833;4,5;10;5,35;
320016 Água Doce do Norte;22;22;32055,09;23092,8;-;-;8962,29;-;-;1457,05;1457,05;138;6,3;-;-;
320013 Águia Branca;30;30;26283,57;19355,35;-;-;6928,22;-;-;876,12;876,12;144;4,8;1;3,33;
320020 Alegre;160;160;230961,84;178205,53;-;-;52756,31;-;-;1443,51;1443,51;732;4,6;8;5;
320030 Alfredo Chaves;47;47;65044,77;49956,41;-;-;15088,36;-;-;1383,93;1383,93;182;3,9;3;6,38;
320035 Alto Rio Novo;23;23;36387,1;28902,3;-;-;7484,8;-;-;1582,05;1582,05;97;4,2;1;4,35;
320040 Anchieta;134;134;177064,74;141879,18;-;-;35185,56;-;-;1321,38;1321,38;701;5,2;9;6,72;
320050 Apiacá;35;35;60149,03;45422,45;-;-;14726,58;-;-;1718,54;1718,54;235;6,7;3;8,57;
320060 Aracruz;586;589;718034,9;590671,02;-;-;127363,88;-;-;1219,07;1225,32;2743;4,7;29;4,95;
320070 Atilio Vivacqua;50;52;95356,04;71603,23;-;-;23752,81;-;-;1833,77;1907,12;261;5,2;1;2;
320080 Baixo Guandu;193;193;207649,72;160130,55;-;-;47519,17;-;-;1075,91;1075,91;825;4,3;9;4,66;
320090 Barra de São Francisco;78;78;140553,1;114882,53;-;-;25670,57;-;-;1801,96;1801,96;361;4,6;2;2,56;
320100 Boa Esperança;151;151;94424,65;76488,79;-;-;17935,86;-;-;625,33;625,33;453;3;7;4,64;
320110 Bom Jesus do Norte;45;45;67385,19;56089,97;-;-;11295,22;-;-;1497,45;1497,45;303;6,7;3;6,67;
320115 Brejetuba;53;53;91148,47;70551,84;-;-;20596,63;-;-;1719,78;1719,78;243;4,6;2;3,77;
320120 Cachoeiro de Itapemirim;1108;1122;1597648,45;1285249,02;1298;-;310594,39;-;-;1423,93;1441,92;5477;4,9;53;4,78;
320130 Cariacica;1638;1643;2343636,27;1891292,86;4028,12;-;446716,87;-;-;1426,44;1430,79;9025;5,5;76;4,64;
320140 Castelo;257;257;402946,48;337056,82;-;-;65889,66;-;-;1567,89;1567,89;1191;4,6;11;4,28;
320150 Colatina;513;514;767601,16;622850,72;-;-;144750,44;-;-;1493,39;1496,3;2285;4,5;19;3,7;
320160 Conceição da Barra;153;153;129078,89;95663,7;2572,24;-;29990,42;-;-;843,65;843,65;505;3,3;6;3,92;
320170 Conceição do Castelo;41;42;50693,11;40376,04;-;-;10317,07;-;-;1206,98;1236,42;219;5,3;6;14,63;
320180 Divino de São Lourenço;22;22;21709,53;19170,05;-;-;2539,48;-;-;986,8;986,8;134;6,1;2;9,09;
320190 Domingos Martins;211;212;218546,86;171984,77;-;-;46562,09;-;-;1030,88;1035,77;1112;5,3;7;3,32;
320200 Dores do Rio Preto;39;39;40803,3;33141,05;-;-;7662,25;-;-;1046,24;1046,24;222;5,7;-;-;
320210 Ecoporanga;99;99;144403,79;113693,16;-;-;30710,63;-;-;1458,62;1458,62;534;5,4;4;4,04;
320220 Fundão;73;73;163358,33;127767,28;1274,24;-;33971,32;-;-;2237,79;2237,79;373;5,1;3;4,11;
320225 Governador Lindenberg;38;38;42625,02;30322,89;-;-;12302,13;-;-;1121,71;1121,71;124;3,3;-;-;
320230 Guaçuí;193;193;287236,23;232836,78;-;-;54399,45;-;-;1488,27;1488,27;870;4,5;11;5,7;
320240 Guarapari;575;579;802367,21;638978,64;1298;-;161583,53;-;-;1385,78;1395,42;2968;5,2;21;3,65;
320245 Ibatiba;180;181;167796,21;132952,8;-;-;34843,41;-;-;927,05;932,2;658;3,7;4;2,22;
320250 Ibiraçu;47;47;50219,87;40263,05;-;-;9956,82;-;-;1068,51;1068,51;168;3,6;-;-;
320255 Ibitirama;55;55;64485,42;52589,1;-;-;11896,32;-;-;1172,46;1172,46;277;5;3;5,45;
320260 Iconha;49;50;87232,23;70102,94;-;-;17129,29;-;-;1744,64;1780,25;240;4,9;2;4,08;
320265 Irupi;51;52;71557,31;53289,07;-;-;18268,24;-;-;1376,1;1403,08;215;4,2;2;3,92;
320270 Itaguaçu;54;54;70696,77;57853,74;-;-;12843,03;-;-;1309,2;1309,2;207;3,8;4;7,41;
320280 Itapemirim;254;256;290655,5;233025,56;-;-;57629,94;-;-;1135,37;1144,31;1250;4,9;6;2,36;
320290 Itarana;53;53;82005,91;68765,17;-;-;13240,74;-;-;1547,28;1547,28;266;5;3;5,66;
320300 Iúna;170;170;153343,83;121675,51;1274,24;-;30048,59;-;-;902,02;902,02;651;3,8;7;4,12;
320305 Jaguaré;179;179;134014,49;103703,96;-;-;30310,53;-;-;748,68;748,68;555;3,1;4;2,23;
320310 Jerônimo Monteiro;70;70;76067,56;61198,57;-;-;14868,99;-;-;1086,68;1086,68;273;3,9;6;8,57;
320313 João Neiva;61;61;70076,49;55533,35;-;-;14543,14;-;-;1148,79;1148,79;249;4,1;4;6,56;
320316 Laranja da Terra;36;36;37073,05;30577,1;-;-;6495,95;-;-;1029,81;1029,81;218;6,1;3;8,33;
320320 Linhares;846;850;1172524,78;936187,93;2572,24;-;232912,08;-;-;1379,44;1385,96;4167;4,9;48;5,67;
320330 Mantenópolis;48;48;73015,74;61716,44;-;-;11299,3;-;-;1521,16;1521,16;193;4;1;2,08;
320332 Marataízes;253;257;343883,86;275792,61;-;-;68091,25;-;-;1338,07;1359,22;1435;5,7;12;4,74;
320334 Marechal Floriano;97;98;75179,05;59645,54;-;-;15533,51;-;-;767,13;775,04;502;5,2;6;6,19;
320335 Marilândia;42;42;31531,96;24592,78;-;-;6939,18;-;-;750,76;750,76;128;3;4;9,52;
320340 Mimoso do Sul;142;142;167005,79;135280,22;-;-;31725,57;-;-;1176,1;1176,1;589;4,1;7;4,93;
320350 Montanha;126;126;93799,22;75811,56;-;-;17987,66;-;-;744,44;744,44;425;3,4;2;1,59;
320360 Mucurici;55;55;48909,36;38832,85;-;-;10076,51;-;-;889,26;889,26;151;2,7;2;3,64;
320370 Muniz Freire;45;46;63469,18;51265,15;191,1;-;11888,09;-;-;1379,76;1410,43;236;5,2;-;-;
320380 Muqui;66;67;151474,41;126002,72;-;-;25471,69;-;-;2260,81;2295,07;351;5,3;4;6,06;
320390 Nova Venécia;287;288;272288,04;209473,73;1274,24;-;61194,58;-;-;945,44;948,74;1212;4,2;9;3,14;
320400 Pancas;67;67;216926,55;174517,87;1298;-;40603,64;-;-;3237,71;3237,71;245;3,7;3;4,48;
320405 Pedro Canário;196;196;126949,24;98644,94;-;-;28304,3;-;-;647,7;647,7;518;2,6;9;4,59;
320410 Pinheiros;223;223;188478,05;149813,43;1274,24;-;37044,89;-;-;845,19;845,19;722;3,2;8;3,59;
320420 Piúma;94;94;148699,59;119292,04;-;-;29407,55;-;-;1581,91;1581,91;407;4,3;2;2,13;
320425 Ponto Belo;55;55;34967,15;28232,19;-;-;6734,96;-;-;635,77;635,77;159;2,9;-;-;
320430 Presidente Kennedy;84;84;133616,82;103506,47;-;-;30110,35;-;-;1590,68;1590,68;374;4,5;7;8,33;
320435 Rio Bananal;74;74;88187,16;72035,47;-;-;16151,69;-;-;1191,72;1191,72;416;5,6;6;8,11;
320440 Rio Novo do Sul;57;57;110626,18;89222,6;-;-;21403,58;-;-;1940,81;1940,81;288;5,1;4;7,02;
320450 Santa Leopoldina;66;67;72901,22;60673,12;-;-;12228,1;-;-;1088,08;1104,56;351;5,3;4;6,06;
320455 Santa Maria de Jetibá;301;301;320977,11;257792,28;-;-;63184,83;-;-;1066,37;1066,37;1240;4,1;10;3,32;
320460 Santa Teresa;125;125;196071,3;155169,04;-;-;40902,26;-;-;1568,57;1568,57;544;4,4;8;6,4;
320465 São Domingos do Norte;44;44;72047,69;59100,69;-;-;12947;-;-;1637,45;1637,45;142;3,2;-;-;
320470 São Gabriel da Palha;170;170;168888,39;134637,63;-;-;34250,76;-;-;993,46;993,46;562;3,3;6;3,53;
320480 São José do Calçado;76;76;81579,91;66870,95;-;-;14708,96;-;-;1073,42;1073,42;392;5,2;5;6,58;
320490 São Mateus;899;899;886149,88;706222,05;2572,24;-;176503,06;-;-;985,71;985,71;3384;3,8;35;3,89;
320495 São Roque do Canaã;43;43;42993,49;34596;-;-;8397,49;-;-;999,85;999,85;190;4,4;5;11,63;
320500 Serra;2069;2077;3304580,58;2720727,13;3870,24;-;578623,64;-;-;1591,04;1597,19;13161;6,4;103;4,98;
320501 Sooretama;120;120;112844,58;88899,54;-;-;23945,04;-;-;940,37;940,37;613;5,1;5;4,17;
320503 Vargem Alta;112;113;166381,82;130771,94;1298;-;33804,84;-;-;1472,41;1485,55;488;4,4;5;4,46;
320506 Venda Nova do Imigrante;95;95;149669,4;117272,92;-;-;32396,48;-;-;1575,47;1575,47;431;4,5;4;4,21;
320510 Viana;284;284;375570,4;307322,32;-;-;68248,08;-;-;1322,43;1322,43;1462;5,1;11;3,87;
320515 Vila Pavão;46;47;59603,8;42964,6;-;-;16639,2;-;-;1268,17;1295,73;201;4,4;1;2,17;
320517 Vila Valério;65;65;102146,16;78499,16;-;-;23647;-;-;1571,48;1571,48;203;3,1;1;1,54;
320520 Vila Velha;1734;1742;2611449,68;2103144,63;1298;-;506500,01;-;-;1499,11;1506,03;9643;5,6;80;4,61;
320530 Vitória;1438;1442;2108211,25;1705657,94;5120,72;-;395889,08;-;-;1462,01;1466,07;8768;6,1;51;3,55;
330010 Angra dos Reis;528;529;700081,9;584117,46;-;-;115964,44;-;-;1323,41;1325,91;4258;8,1;34;6,44;
330015 Aperibé;63;63;37648,64;30883,92;-;-;6764,72;-;-;597,6;597,6;255;4;4;6,35;
330020 Araruama;271;271;344543,67;271202,65;-;-;73341,02;-;-;1271,38;1271,38;1477;5,5;12;4,43;
330022 Areal;38;48;69689,97;58083,09;-;-;11606,88;-;-;1451,87;1833,95;605;15,9;4;10,53;
330023 Armação dos Búzios;140;140;121108,54;95491,61;-;-;25616,93;-;-;865,06;865,06;751;5,4;7;5;
330025 Arraial do Cabo;31;32;54360,07;41322,4;-;-;13037,67;-;-;1698,75;1753,55;136;4,4;2;6,45;
