 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Fev/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210043 Alto Alegre do Maranhão";111;112;98559,08;77769,18;-;-;20789,90;-;-;879,99;887,92;579;5,2;3;2,70
"210047 Alto Alegre do Pindaré";190;193;117257,72;94159,83;-;-;23097,89;-;-;607,55;617,15;764;4,0;-;-
"210050 Alto Parnaíba";40;41;20830,87;16122,27;-;-;4708,60;-;-;508,07;520,77;231;5,8;-;-
"210055 Amapá do Maranhão";25;25;24914,66;17596,63;-;-;7318,03;-;-;996,59;996,59;85;3,4;-;-
"210060 Amarante do Maranhão";350;350;204559,12;158835,57;-;-;45723,55;-;-;584,45;584,45;1253;3,6;7;2,00
"210070 Anajatuba";68;71;98551,05;75215,49;-;-;23335,56;-;-;1388,04;1449,28;445;6,5;3;4,41
"210080 Anapurus";104;104;46706,96;38710,90;-;-;7996,06;-;-;449,11;449,11;237;2,3;2;1,92
"210083 Apicum-Açu";164;164;57729,58;46904,06;-;-;10825,52;-;-;352,01;352,01;532;3,2;-;-
"210087 Araguanã";31;32;37423,11;30233,39;-;-;7189,72;-;-;1169,47;1207,20;165;5,3;2;6,45
"210090 Araioses";95;97;104477,34;83569,49;-;-;20907,85;-;-;1077,09;1099,76;607;6,4;4;4,21
"210095 Arame";216;216;123986,49;100683,76;-;-;23302,73;-;-;574,01;574,01;511;2,4;2;0,93
"210100 Arari";53;54;67741,88;54363,62;-;-;13378,26;-;-;1254,48;1278,15;374;7,1;1;1,89
"210110 Axixá";50;50;26627,30;19841,56;-;-;6785,74;-;-;532,55;532,55;142;2,8;1;2,00
"210120 Bacabal";560;565;407871,11;318313,52;-;-;89557,59;-;-;721,90;728,34;2499;4,5;25;4,46
"210125 Bacabeira";42;44;51145,28;42400,35;-;-;8744,93;-;-;1162,39;1217,74;366;8,7;1;2,38
"210130 Bacuri";158;158;96153,25;79597,88;-;-;16555,37;-;-;608,56;608,56;492;3,1;3;1,90
"210135 Bacurituba";10;10;4184,74;3156,11;-;-;1028,63;-;-;418,47;418,47;30;3,0;1;10,00
"210140 Balsas";597;597;455403,25;354392,52;-;-;101010,73;-;-;762,82;762,82;2377;4,0;21;3,52
"210150 Barão de Grajaú";75;75;152006,68;126787,88;-;-;25218,80;-;-;2026,76;2026,76;412;5,5;2;2,67
