ano,sigla_uf,nome_municipio,pibpercapita
2018,PA,Limoeiro Do Ajuru,14164.764930203268
2018,PA,Mãe Do Rio,9794.114115720158
2018,PA,Magalhães Barata,9591.611991082951
2018,PA,Marabá,31920.1972655824
2018,PA,Maracanã,7971.519929321417
2018,PA,Marapanim,8311.97632884479
2018,PA,Marituba,14706.600838224263
2018,PA,Medicilândia,19671.79969884343
2018,PA,Melgaço,6498.638409629764
2018,PA,Mocajuba,9588.543174128059
2018,PA,Moju,11653.355324245567
2018,PA,,9595.204605180828
2018,PA,Monte Alegre,12455.00670120898
2018,PA,Muaná,6472.593193072418
2018,PA,Nova Esperança Do Piriá,9610.338546803814
2018,PA,Nova Ipixuna,8263.671434632402
2018,PA,Nova Timboteua,7801.320475752398
2018,PA,Novo Progresso,22691.73010326889
2018,PA,Novo Repartimento,11449.044945175732
2018,PA,Óbidos,12336.859056269725
2018,PA,Oeiras Do Pará,12077.275677692116
2018,PA,Oriximiná,22543.082954545454
2018,PA,Ourém,9544.037977540771
2018,PA,Ourilândia Do Norte,18895.855193539403
2018,PA,Pacajá,12677.218256501938
2018,PA,Palestina Do Pará,8619.682464454976
2018,PA,Paragominas,23685.18036219176
2018,PA,Parauapebas,78841.15103360574
2018,PA,Pau D'arco,15833.789094835343
2018,PA,Peixe-Boi,6822.9623436145175
2018,PA,Piçarra,18113.83478394824
2018,PA,Placas,8103.04175882217
2018,PA,Ponta De Pedras,6928.468145582854
2018,PA,Portel,14619.528989300788
2018,PA,Porto De Moz,7660.881135992881
2018,PA,Prainha,9660.36572308104
2018,PA,Primavera,18437.459599703485
2018,PA,Quatipuru,7215.65334517466
2018,PA,Redenção,21459.842625331858
2018,PA,Rio Maria,26363.75844055867
2018,PA,Rondon Do Pará,10248.033235073117
2018,PA,Rurópolis,7077.439710724602
2018,PA,Salinópolis,11636.451464476548
2018,PA,Salvaterra,7470.16568476776
2018,PA,Santa Bárbara Do Pará,8325.09650309119
2018,PA,Santa Cruz Do Arari,6938.523795150418
2018,PA,Santa Isabel Do Pará,10867.424726866057
2018,PA,Santa Luzia Do Pará,8218.486751964538
2018,PA,Santa Maria Das Barreiras,18052.359424009126
2018,PA,Santa Maria Do Pará,15526.484974721941
2018,PA,Santana Do Araguaia,11850.1005661146
2018,PA,Santarém,16053.850928578273
2018,PA,Santarém Novo,6776.235594237695
2018,PA,Santo Antônio Do Tauá,11825.463947419292
2018,PA,São Caetano De Odivelas,7919.3180300500835
2018,PA,São Domingos Do Araguaia,11082.051226437416
