 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Out/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"172110 Tocantínia";61;61;50312,99;40089,77;262,23;-;9742,52;-;-;824,80;824,80;224;3,7;-;-
"172120 Tocantinópolis";127;127;151819,71;112909,89;580,88;-;37949,49;-;-;1195,43;1195,43;611;4,8;1;0,79
"172125 Tupirama";14;14;11226,38;8385,02;-;-;2841,36;-;-;801,88;801,88;93;6,6;-;-
"172130 Tupiratins";3;3;1765,96;1078,89;149,27;-;469,58;-;-;588,65;588,65;12;4,0;-;-
"172208 Wanderlândia";47;47;42683,42;32222,40;372,85;-;9895,65;-;-;908,16;908,16;356;7,6;1;2,13
"172210 Xambioá";81;81;42281,88;30718,07;1196,66;-;9727,39;-;-;522,00;522,00;292;3,6;2;2,47
"210005 Açailândia";605;606;511842,15;386772,48;-;-;125069,67;-;-;844,62;846,02;2012;3,3;11;1,82
"210010 Afonso Cunha";60;60;31655,39;27474,73;-;-;4180,66;-;-;527,59;527,59;237;4,0;-;-
"210015 Água Doce do Maranhão";41;41;24961,07;18691,13;-;-;6269,94;-;-;608,81;608,81;219;5,3;1;2,44
"210020 Alcântara";70;72;82523,58;66940,19;-;-;15583,39;-;-;1146,16;1178,91;391;5,6;4;5,71
"210030 Aldeias Altas";222;222;143208,58;117594,47;-;-;25614,11;-;-;645,08;645,08;906;4,1;4;1,80
"210040 Altamira do Maranhão";9;9;8332,33;6107,48;-;-;2224,85;-;-;925,81;925,81;26;2,9;-;-
"210043 Alto Alegre do Maranhão";142;142;106615,09;83996,41;-;-;22618,68;-;-;750,81;750,81;684;4,8;5;3,52
"210047 Alto Alegre do Pindaré";213;214;116194,71;93479,58;-;-;22715,13;-;-;542,97;545,52;710;3,3;2;0,94
"210050 Alto Parnaíba";82;83;40386,54;32619,99;-;-;7766,55;-;-;486,58;492,52;278;3,4;-;-
"210055 Amapá do Maranhão";31;31;34347,61;25800,96;-;-;8546,65;-;-;1107,99;1107,99;120;3,9;-;-
"210060 Amarante do Maranhão";359;359;213825,10;163742,56;-;-;50082,54;-;-;595,61;595,61;1271;3,5;10;2,79
"210070 Anajatuba";99;99;112102,68;85364,67;-;-;26738,01;-;-;1132,35;1132,35;408;4,1;-;-
"210080 Anapurus";115;115;58960,25;42503,37;-;-;16456,88;-;-;512,70;512,70;407;3,5;-;-
"210083 Apicum-Açu";160;160;111675,81;89553,99;-;-;22121,82;-;-;697,97;697,97;616;3,9;5;3,13
"210087 Araguanã";32;32;37124,51;29491,30;-;-;7633,21;-;-;1160,14;1160,14;156;4,9;2;6,25
"210090 Araioses";87;87;53651,90;40240,68;-;-;13411,22;-;-;616,69;616,69;418;4,8;2;2,30
"210095 Arame";197;198;103364,02;83161,10;-;-;20202,92;-;-;522,04;524,69;550;2,8;2;1,02
"210100 Arari";141;143;114632,70;87604,59;-;-;27028,11;-;-;801,63;813,00;577;4,1;3;2,13
"210110 Axixá";53;55;47780,36;38104,52;-;-;9675,84;-;-;868,73;901,52;254;4,8;2;3,77
"210120 Bacabal";524;527;497226,06;384008,37;-;-;113217,69;-;-;943,50;948,90;2075;4,0;16;3,05
"210125 Bacabeira";56;57;51449,90;39645,67;-;-;11804,23;-;-;902,63;918,75;365;6,5;3;5,36
"210130 Bacuri";177;178;86543,78;68578,37;-;-;17965,41;-;-;486,20;488,95;519;2,9;-;-
