 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Dez/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"170389 Carrasco Bonito";8;8;8845,32;6153,70;206,16;-;2374,61;-;-;1105,66;1105,66;26;3,3;-;-
"170390 Caseara";19;19;11864,69;8987,23;149,06;-;2641,25;-;-;624,46;624,46;43;2,3;1;5,26
"170410 Centenário";11;11;6554,78;4743,87;288,39;-;1318,86;-;-;595,89;595,89;48;4,4;-;-
"170510 Chapada da Natividade";17;17;10542,82;7919,68;149,27;-;2400,39;-;-;620,17;620,17;80;4,7;1;5,88
"170460 Chapada de Areia";1;1;508,52;200,05;100,02;-;138,97;-;-;508,52;508,52;1;1,0;-;-
"170550 Colinas do Tocantins";167;167;225205,54;175315,14;1015,67;-;48122,36;-;-;1348,54;1348,54;1000;6,0;4;2,40
"171670 Colméia";29;29;43969,20;34742,63;1146,51;-;7304,17;-;-;1516,18;1516,18;152;5,2;-;-
"170555 Combinado";15;15;8990,66;5611,66;694,08;-;2232,35;-;-;599,38;599,38;62;4,1;1;6,67
"170560 Conceição do Tocantins";21;21;29595,42;22184,62;513,54;-;6518,60;-;-;1409,31;1409,31;144;6,9;-;-
"170600 Couto Magalhães";13;13;6253,79;4753,33;-;-;1500,46;-;-;481,06;481,06;83;6,4;-;-
"170610 Cristalândia";21;21;17026,73;13248,23;547,18;-;2913,24;-;-;810,80;810,80;157;7,5;-;-
"170625 Crixás do Tocantins";6;6;6548,15;5329,46;48,86;-;1109,13;-;-;1091,36;1091,36;19;3,2;1;16,67
"170650 Darcinópolis";31;31;34545,78;25258,35;232,35;-;8924,69;-;-;1114,38;1114,38;169;5,5;1;3,23
"170700 Dianópolis";79;79;130791,18;94664,47;165,23;-;35869,63;-;-;1655,58;1655,58;470;5,9;3;3,80
"170710 Divinópolis do Tocantins";22;22;22182,35;19143,74;139,51;-;2825,61;-;-;1008,29;1008,29;166;7,5;2;9,09
"170720 Dois Irmãos do Tocantins";10;10;9795,73;7741,00;-;-;2054,73;-;-;979,57;979,57;53;5,3;1;10,00
"170730 Dueré";27;27;35072,32;27256,20;633,42;-;6816,98;-;-;1298,97;1298,97;128;4,7;1;3,70
"170740 Esperantina";17;17;16018,09;11377,09;343,22;-;4131,04;-;-;942,24;942,24;50;2,9;-;-
"170755 Fátima";31;31;22135,39;16972,80;419,89;-;4527,67;-;-;714,04;714,04;230;7,4;3;9,68
"170765 Figueirópolis";25;25;18163,59;12349,26;511,08;-;4939,20;-;-;726,54;726,54;168;6,7;-;-
"170770 Filadélfia";34;34;32962,61;25467,67;172,20;-;7168,37;-;-;969,49;969,49;175;5,1;1;2,94
"170820 Formoso do Araguaia";73;73;51815,98;39672,92;291,71;-;11632,76;-;-;709,81;709,81;349;4,8;3;4,11
"170825 Fortaleza do Tabocão";18;18;13001,00;9241,90;298,54;-;3313,60;-;-;722,28;722,28;148;8,2;1;5,56
"170830 Goianorte";18;18;14199,24;8885,91;1150,42;-;3544,94;-;-;788,85;788,85;99;5,5;-;-
"170900 Goiatins";50;50;37438,24;29210,35;483,36;-;7495,18;-;-;748,76;748,76;273;5,5;2;4,00
"170930 Guaraí";118;118;118704,78;81288,13;5608,21;-;28501,95;-;-;1005,97;1005,97;511;4,3;3;2,54
"170950 Gurupi";472;473;446762,69;340365,14;5798,52;-;96936,36;-;-;944,53;946,53;2247;4,8;25;5,30
"170980 Ipueiras";12;12;5199,64;4348,68;-;-;850,96;-;-;433,30;433,30;38;3,2;-;-
"171050 Itacajá";49;49;68282,16;55170,05;1309,92;-;11099,97;-;-;1393,51;1393,51;292;6,0;2;4,08
"171070 Itaguatins";10;10;8653,54;6445,33;90,82;-;1917,19;-;-;865,35;865,35;31;3,1;1;10,00
"171090 Itapiratins";22;22;55193,23;42400,34;745,70;-;11651,63;-;-;2508,78;2508,78;188;8,5;2;9,09
"171110 Itaporã do Tocantins";10;10;17193,40;11291,64;298,54;-;5456,26;-;-;1719,34;1719,34;88;8,8;-;-
"171150 Jaú do Tocantins";18;18;30749,39;23814,40;355,43;-;6395,23;-;-;1708,30;1708,30;101;5,6;-;-
"171180 Juarina";12;12;7536,01;5370,89;576,04;-;1313,43;-;-;628,00;628,00;66;5,5;-;-
"171190 Lagoa da Confusão";88;88;39610,48;30287,61;235,06;-;8951,90;-;-;450,12;450,12;348;4,0;3;3,41
"171195 Lagoa do Tocantins";24;24;19218,58;14721,36;356,18;-;3992,73;-;-;800,77;800,77;154;6,4;-;-
"171200 Lajeado";21;21;30915,66;25699,59;349,31;-;4659,58;-;-;1472,17;1472,17;146;7,0;-;-
"171215 Lavandeira";5;5;2582,05;1409,50;249,08;-;766,84;-;-;516,41;516,41;8;1,6;-;-
"171240 Lizarda";14;14;24831,88;19149,87;355,43;-;5142,26;-;-;1773,71;1773,71;76;5,4;2;14,29
"171245 Luzinópolis";11;11;9415,59;7090,12;-;-;2325,47;-;-;855,96;855,96;46;4,2;-;-
"171250 Marianópolis do Tocantins";20;20;36281,96;30263,23;707,79;-;4976,45;-;-;1814,10;1814,10;117;5,8;2;10,00
"171270 Mateiros";6;6;5439,52;4283,30;-;-;1156,22;-;-;906,59;906,59;42;7,0;-;-
"171280 Maurilândia do Tocantins";3;3;1934,62;1140,76;-;-;793,86;-;-;644,87;644,87;9;3,0;-;-
"171320 Miracema do Tocantins";157;157;102233,55;72721,37;4216,64;-;22882,65;-;-;651,17;651,17;652;4,2;-;-
"171330 Miranorte";76;76;56530,55;40072,58;2682,74;-;12127,36;-;-;743,82;743,82;275;3,6;2;2,63
"171360 Monte do Carmo";31;31;15904,83;12200,79;395,03;-;3143,89;-;-;513,06;513,06;161;5,2;1;3,23
"171370 Monte Santo do Tocantins";6;6;2573,06;2070,88;-;-;502,18;-;-;428,84;428,84;21;3,5;-;-
"171395 Muricilândia";11;11;12216,23;9372,29;223,58;-;2496,06;-;-;1110,57;1110,57;85;7,7;-;-
