 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Nov/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150580 Portel";212;212;137069,58;102124,48;-;-;34945,10;-;-;646,55;646,55;715;3,4;1;0,47
"150590 Porto de Moz";209;209;112956,42;88270,29;-;-;24686,13;-;-;540,46;540,46;613;2,9;3;1,44
"150600 Prainha";147;148;82866,00;63602,63;-;-;19263,37;-;-;559,91;563,71;493;3,4;4;2,72
"150610 Primavera";51;51;93115,88;74142,83;-;-;18973,05;-;-;1825,80;1825,80;255;5,0;6;11,76
"150611 Quatipuru";41;41;53809,46;42655,72;-;-;11153,74;-;-;1312,43;1312,43;305;7,4;-;-
"150613 Redenção";535;535;438987,28;346221,17;-;-;92766,11;-;-;820,54;820,54;2253;4,2;23;4,30
"150616 Rio Maria";141;141;78148,19;63052,04;-;-;15096,15;-;-;554,24;554,24;479;3,4;2;1,42
"150618 Rondon do Pará";394;394;205843,77;160866,75;-;-;44977,02;-;-;522,45;522,45;1152;2,9;6;1,52
"150619 Rurópolis";155;155;74332,61;61608,58;-;-;12724,03;-;-;479,57;479,57;665;4,3;2;1,29
"150620 Salinópolis";210;210;166004,10;125489,74;-;-;40514,36;-;-;790,50;790,50;847;4,0;7;3,33
"150630 Salvaterra";104;104;77566,97;59545,48;-;-;18021,49;-;-;745,84;745,84;269;2,6;2;1,92
"150635 Santa Bárbara do Pará";82;82;111537,17;86161,27;298,12;-;24903,47;-;-;1360,21;1360,21;505;6,2;1;1,22
"150640 Santa Cruz do Arari";38;38;20127,19;14835,86;-;-;5291,33;-;-;529,66;529,66;127;3,3;-;-
"150650 Santa Izabel do Pará";256;256;293414,58;207739,59;2007,31;-;82800,73;-;-;1146,15;1146,15;1168;4,6;3;1,17
"150655 Santa Luzia do Pará";69;69;97915,91;69676,18;-;-;28239,73;-;-;1419,07;1419,07;221;3,2;1;1,45
"150658 Santa Maria das Barreiras";80;80;66009,77;54157,23;-;-;11852,54;-;-;825,12;825,12;295;3,7;3;3,75
"150660 Santa Maria do Pará";223;223;148938,86;112420,26;1238,29;-;34598,12;-;-;667,89;667,89;749;3,4;2;0,90
"150670 Santana do Araguaia";278;279;143890,97;106820,37;-;-;37070,60;-;-;515,74;517,59;985;3,5;3;1,08
"150680 Santarém";1581;1581;1405780,76;1097378,88;-;-;308401,88;-;-;889,17;889,17;7629;4,8;66;4,17
"150690 Santarém Novo";14;14;13840,77;11234,35;-;-;2606,42;-;-;988,63;988,63;64;4,6;1;7,14
"150700 Santo Antônio do Tauá";505;505;254771,24;196985,52;4481,79;-;51114,12;-;-;504,50;504,50;1671;3,3;2;0,40
"150710 São Caetano de Odivelas";50;50;68407,40;53329,24;447,16;-;14382,39;-;-;1368,15;1368,15;252;5,0;-;-
"150715 São Domingos do Araguaia";82;82;67286,14;55008,37;-;-;12277,77;-;-;820,56;820,56;406;5,0;4;4,88
"150720 São Domingos do Capim";211;211;141795,93;111931,78;-;-;29864,15;-;-;672,02;672,02;860;4,1;2;0,95
"150730 São Félix do Xingu";442;442;256687,11;184234,59;17632,54;-;44908,96;-;-;580,74;580,74;1480;3,3;10;2,26
"150740 São Francisco do Pará";79;79;74920,43;55671,12;-;-;19249,31;-;-;948,36;948,36;408;5,2;3;3,80
"150745 São Geraldo do Araguaia";102;102;65355,33;51017,41;-;-;14337,92;-;-;640,74;640,74;376;3,7;4;3,92
"150746 São João da Ponta";25;25;25328,47;19279,71;-;-;6048,76;-;-;1013,14;1013,14;83;3,3;3;12,00
"150747 São João de Pirabas";116;116;82065,10;61610,34;-;-;20454,76;-;-;707,46;707,46;376;3,2;2;1,72
"150750 São João do Araguaia";42;42;38795,31;31239,41;-;-;7555,90;-;-;923,70;923,70;172;4,1;-;-
"150760 São Miguel do Guamá";197;197;172010,79;125756,75;1339,49;-;44391,41;-;-;873,15;873,15;835;4,2;6;3,05
"150770 São Sebastião da Boa Vista";104;104;71133,49;55151,46;-;-;15982,03;-;-;683,98;683,98;402;3,9;1;0,96
"150775 Sapucaia";38;38;50277,69;40924,77;-;-;9352,92;-;-;1323,10;1323,10;181;4,8;1;2,63
"150780 Senador José Porfírio";101;101;56624,94;42989,97;-;-;13634,97;-;-;560,64;560,64;349;3,5;-;-
"150790 Soure";161;161;104445,81;81390,71;-;-;23055,10;-;-;648,73;648,73;422;2,6;1;0,62
"150795 Tailândia";281;281;193581,38;146461,72;-;-;47119,66;-;-;688,90;688,90;1087;3,9;11;3,91
"150796 Terra Alta";36;36;54043,11;39994,05;-;-;14049,06;-;-;1501,20;1501,20;214;5,9;1;2,78
"150797 Terra Santa";131;131;56885,86;43638,38;-;-;13247,48;-;-;434,24;434,24;424;3,2;-;-
"150800 Tomé-Açu";359;359;302572,73;221306,58;-;-;81266,15;-;-;842,82;842,82;1151;3,2;4;1,11
"150803 Tracuateua";239;239;169574,34;132031,68;-;-;37542,66;-;-;709,52;709,52;926;3,9;4;1,67
"150805 Trairão";131;131;47592,69;36493,26;-;-;11099,43;-;-;363,30;363,30;477;3,6;2;1,53
"150808 Tucumã";403;403;231129,41;195227,77;-;-;35901,64;-;-;573,52;573,52;1363;3,4;4;0,99
"150810 Tucuruí";307;307;278919,78;200457,13;-;-;78462,65;-;-;908,53;908,53;1671;5,4;11;3,58
"150812 Ulianópolis";264;264;178396,32;143434,77;-;-;34961,55;-;-;675,74;675,74;857;3,2;4;1,52
"150815 Uruará";362;362;284706,11;222459,54;-;-;62246,57;-;-;786,48;786,48;1346;3,7;10;2,76
"150820 Vigia";221;221;232542,06;184319,30;881,88;-;46921,39;-;-;1052,23;1052,23;942;4,3;6;2,71
"150830 Viseu";355;355;187345,26;142167,87;-;-;45177,39;-;-;527,73;527,73;1052;3,0;9;2,54
"150835 Vitória do Xingu";139;139;77156,09;58315,30;-;-;18840,79;-;-;555,08;555,08;512;3,7;1;0,72
"150840 Xinguara";299;299;189284,45;148838,64;-;-;40445,81;-;-;633,06;633,06;1145;3,8;9;3,01
"160010 Amapá";26;26;15236,54;10757,23;-;-;4479,31;-;-;586,02;586,02;112;4,3;-;-
"160020 Calçoene";50;50;18619,10;13134,08;-;-;5485,02;-;-;372,38;372,38;105;2,1;-;-
"160021 Cutias";3;3;1957,22;1570,28;-;-;386,94;-;-;652,41;652,41;17;5,7;-;-
"160023 Ferreira Gomes";21;21;19271,23;15136,09;-;-;4135,14;-;-;917,68;917,68;92;4,4;-;-
"160025 Itaubal";10;10;6344,69;4130,75;-;-;2213,94;-;-;634,47;634,47;36;3,6;-;-
"160027 Laranjal do Jari";219;219;104916,10;73575,71;-;-;31340,39;-;-;479,07;479,07;762;3,5;6;2,74
"160030 Macapá";1980;1980;1802552,27;1325199,64;1339,49;-;475490,00;-;-;910,38;910,38;10989;5,5;75;3,79
"160040 Mazagão";78;78;46091,76;33789,24;-;-;12302,52;-;-;590,92;590,92;299;3,8;1;1,28
"160050 Oiapoque";169;169;64711,64;49044,94;-;-;15666,70;-;-;382,91;382,91;471;2,8;-;-
"160015 Pedra Branca do Amapari";22;22;12529,94;7570,74;-;-;4959,20;-;-;569,54;569,54;75;3,4;-;-
"160053 Porto Grande";68;68;39411,13;28090,43;-;-;11320,70;-;-;579,58;579,58;321;4,7;-;-
"160055 Pracuúba";7;7;3567,85;2206,43;-;-;1361,42;-;-;509,69;509,69;29;4,1;-;-
"160060 Santana";502;502;300969,66;216062,15;-;-;84907,51;-;-;599,54;599,54;2441;4,9;17;3,39
"160005 Serra do Navio";9;9;5510,12;3502,54;-;-;2007,58;-;-;612,24;612,24;35;3,9;-;-
"160070 Tartarugalzinho";16;16;10720,79;7188,92;-;-;3531,87;-;-;670,05;670,05;71;4,4;-;-
"160080 Vitória do Jari";47;47;26649,72;17717,83;-;-;8931,89;-;-;567,02;567,02;118;2,5;-;-
"170025 Abreulândia";9;9;11343,43;9929,32;206,16;-;1097,10;-;-;1260,38;1260,38;60;6,7;-;-
"170030 Aguiarnópolis";19;19;18259,29;14469,58;171,98;-;3525,25;-;-;961,02;961,02;132;6,9;-;-
"170035 Aliança do Tocantins";23;23;23028,39;17604,72;536,57;-;4550,52;-;-;1001,23;1001,23;146;6,3;3;13,04
"170040 Almas";17;17;8275,97;6090,54;-;-;2185,43;-;-;486,82;486,82;87;5,1;1;5,88
"170070 Alvorada";48;48;46028,61;35064,69;1490,18;-;8642,94;-;-;958,93;958,93;202;4,2;4;8,33
"170100 Ananás";35;35;63105,73;42594,42;735,94;-;19385,06;-;-;1803,02;1803,02;161;4,6;2;5,71
"170105 Angico";7;7;4518,85;2817,35;206,16;-;1384,49;-;-;645,55;645,55;24;3,4;-;-
"170110 Aparecida do Rio Negro";28;28;54403,12;40457,07;409,90;-;13376,78;-;-;1942,97;1942,97;140;5,0;1;3,57
"170130 Aragominas";20;20;42577,36;35369,37;-;-;7207,99;-;-;2128,87;2128,87;151;7,5;-;-
"170190 Araguacema";15;15;14951,92;11542,29;-;-;3409,63;-;-;996,79;996,79;66;4,4;-;-
"170200 Araguaçu";70;70;56115,04;46118,64;223,58;-;9648,52;-;-;801,64;801,64;276;3,9;-;-
"170210 Araguaína";977;978;1125228,21;882002,65;2354,57;-;239631,48;-;-;1150,54;1151,72;6579;6,7;33;3,38
"170215 Araguanã";36;36;36549,71;28794,61;561,59;-;6898,33;-;-;1015,27;1015,27;209;5,8;-;-
"170220 Araguatins";102;102;69407,81;49179,23;610,08;-;19231,09;-;-;680,47;680,47;314;3,1;-;-
"170230 Arapoema";65;65;42724,94;31950,77;683,15;-;9728,62;-;-;657,31;657,31;241;3,7;1;1,54
"170240 Arraias";58;58;32175,22;24413,63;866,63;-;6373,10;-;-;554,75;554,75;231;4,0;1;1,72
"170255 Augustinópolis";82;82;74366,18;52067,84;1459,43;-;20014,26;-;-;906,90;906,90;318;3,9;1;1,22
"170270 Aurora do Tocantins";10;10;6156,39;4618,92;272,82;-;1067,23;-;-;615,64;615,64;57;5,7;-;-
"170290 Axixá do Tocantins";38;38;31635,19;22229,88;745,49;-;8250,59;-;-;832,50;832,50;161;4,2;2;5,26
"170300 Babaçulândia";28;28;25818,55;20372,58;-;-;5445,97;-;-;922,09;922,09;200;7,1;3;10,71
"170305 Bandeirantes do Tocantins";17;17;24892,16;17675,11;388,80;-;6611,80;-;-;1464,24;1464,24;84;4,9;-;-
"170307 Barra do Ouro";13;13;10343,65;7543,64;-;-;2800,01;-;-;795,67;795,67;52;4,0;-;-
"170310 Barrolândia";15;16;20958,48;16386,29;298,54;-;4137,21;-;-;1309,90;1397,23;158;10,5;-;-
"170320 Bernardo Sayão";16;16;12566,88;9484,37;511,07;-;2316,07;-;-;785,43;785,43;102;6,4;1;6,25
"170330 Bom Jesus do Tocantins";13;13;5704,92;3945,28;402,58;-;1156,83;-;-;438,84;438,84;42;3,2;-;-
"170360 Brasilândia do Tocantins";5;5;4459,27;3631,30;206,16;-;510,96;-;-;891,85;891,85;34;6,8;2;40,00
"170370 Brejinho de Nazaré";17;17;8229,48;6255,89;-;-;1973,59;-;-;484,09;484,09;80;4,7;1;5,88
"170380 Buriti do Tocantins";27;27;31767,83;24308,73;149,27;-;7236,35;-;-;1176,59;1176,59;108;4,0;-;-
"170382 Cachoeirinha";15;15;26094,50;21994,34;-;-;4100,16;-;-;1739,63;1739,63;149;9,9;2;13,33
"170384 Campos Lindos";33;33;52602,34;42676,06;295,71;-;9355,33;-;-;1594,01;1594,01;195;5,9;2;6,06
"170386 Cariri do Tocantins";25;25;28890,30;23032,20;572,89;-;4948,47;-;-;1155,61;1155,61;139;5,6;3;12,00
"170388 Carmolândia";11;11;7627,20;4904,43;748,87;-;1552,03;-;-;693,38;693,38;68;6,2;-;-
"170389 Carrasco Bonito";7;7;3226,81;1994,84;-;-;1231,97;-;-;460,97;460,97;11;1,6;-;-
"170390 Caseara";20;20;22946,44;16672,72;-;-;6273,72;-;-;1147,32;1147,32;150;7,5;1;5,00
"170410 Centenário";6;6;2146,65;1315,04;204,89;-;551,68;-;-;357,78;357,78;62;10,3;-;-
"170510 Chapada da Natividade";9;9;6345,87;4790,96;95,55;-;1396,94;-;-;705,10;705,10;38;4,2;-;-
"170460 Chapada de Areia";6;6;4342,53;2944,85;372,85;-;827,05;-;-;723,75;723,75;29;4,8;-;-
"170550 Colinas do Tocantins";173;173;244901,71;209528,78;1446,80;-;33161,90;-;-;1415,62;1415,62;826;4,8;5;2,89
"171670 Colméia";24;24;20485,63;15161,51;745,49;-;4169,40;-;-;853,57;853,57;110;4,6;3;12,50
